feature,importance
kidney_outlier_flag,5.1429902630347424e-05
physical_outlier_flag,8.241168114378816e-05
hearing_left,0.00014978555398915445
hearing_right,0.00034844297786419275
urine_protein,0.001407336972289425
eyesight_left,0.0048342668337371785
eyesight_right,0.005775650283373448
weight_kg,0.006354464755929173
dental_caries,0.008306836088532495
serum_creatinine,0.012588148362468904
systolic,0.014165975619804077
fasting_blood_sugar,0.014386632590962123
ast,0.01454114685894424
hdl,0.01768477221959719
cholesterol,0.02096839429280529
alt,0.02271346950060274
age,0.023018111185396102
triglyceride,0.0322380236705412
hemoglobin,0.13632322476066702
gtp,0.16007267842796288
height_cm,0.5039887974607591
