feature,importance
kidney_outlier_flag,0.0005027126614828447
physical_outlier_flag,0.001361127065172211
hearing_left,0.002085834670359915
hearing_right,0.0021675645072307148
urine_protein,0.005707371399144255
dental_caries,0.00978256721596278
eyesight_right,0.03292725158152264
eyesight_left,0.03293813706218899
age,0.04596222603935693
serum_creatinine,0.04901791178683361
weight_kg,0.0494302890187386
ast,0.04965041108718467
fasting_blood_sugar,0.05596980633103741
systolic,0.05664026245229568
alt,0.056724399272604066
hdl,0.06068360482908417
cholesterol,0.06486150562880465
triglyceride,0.07956191050862789
gtp,0.10793470097658389
height_cm,0.1108530547248155
hemoglobin,0.12523735118096854
