feature,importance
kidney_outlier_flag,0.018370183
eyesight_right,0.019611653
physical_outlier_flag,0.020042233
urine_protein,0.02028006
fasting_blood_sugar,0.02061556
eyesight_left,0.020984858
hearing_right,0.022373239
systolic,0.022897147
ast,0.023034502
cholesterol,0.023322925
hdl,0.02414468
weight_kg,0.024528341
hearing_left,0.025220582
triglyceride,0.027412452
alt,0.027819876
serum_creatinine,0.027834266
age,0.034352865
dental_caries,0.039848723
gtp,0.07362564
hemoglobin,0.09295957
height_cm,0.39072067
