feature,importance
physical_outlier_flag,0.005922133830241021
eyesight_left,0.007036255635550289
hearing_right,0.011352083281501255
urine_protein,0.017509130834941305
kidney_outlier_flag,0.020375450004577536
age,0.02165426537601456
hearing_left,0.034886387061996496
serum_creatinine,0.035680489340319164
eyesight_right,0.03836412500153828
ast,0.041225073794159024
fasting_blood_sugar,0.07379670162156318
hdl,0.07705686241454088
systolic,0.11198980510397949
dental_caries,0.16633609548134035
cholesterol,0.18533364317272774
alt,0.20819188611552752
weight_kg,0.21802089598827254
triglyceride,0.2864096000481865
gtp,0.6003128102254205
hemoglobin,0.674997375563926
height_cm,0.7337056032020381
