feature,importance
kidney_outlier_flag,0.0
hearing_left,0.00024829055672761103
physical_outlier_flag,0.0014418597366636233
hearing_right,0.0014485333215499797
urine_protein,0.0015718794466772065
dental_caries,0.007704904814524979
eyesight_right,0.009886998377525026
weight_kg,0.011590550519498064
eyesight_left,0.012358451583197186
fasting_blood_sugar,0.021291477810528137
ast,0.021393677252240617
serum_creatinine,0.023089291376094216
hdl,0.029528501230725875
systolic,0.029969926643947507
age,0.031173471615551694
alt,0.03569650897059255
cholesterol,0.04426683438034332
triglyceride,0.052451974932209086
hemoglobin,0.12002570294210815
gtp,0.14615494453526162
height_cm,0.39870621995403355
