feature,importance
kidney_outlier_flag,0.022080312
eyesight_right,0.026053682
eyesight_left,0.026539803
fasting_blood_sugar,0.027144507
hearing_right,0.02716213
urine_protein,0.027899006
systolic,0.028108824
hdl,0.028645683
ast,0.028732663
cholesterol,0.029173363
hearing_left,0.02946432
weight_kg,0.029670512
physical_outlier_flag,0.03122722
alt,0.031717625
triglyceride,0.031948246
serum_creatinine,0.033986382
age,0.039386116
dental_caries,0.045291122
gtp,0.062827334
hemoglobin,0.07714168
height_cm,0.31579953
