feature,importance
kidney_outlier_flag,0.0005172212885256471
physical_outlier_flag,0.001385087740786736
hearing_left,0.0020971224945049967
hearing_right,0.002201124490395323
urine_protein,0.00572991783660509
dental_caries,0.009728650127384593
eyesight_right,0.03341376433524218
eyesight_left,0.033513512697021575
age,0.046106291301196284
serum_creatinine,0.04903390866433588
weight_kg,0.04930359331671847
ast,0.05016515701858933
fasting_blood_sugar,0.05643827036171136
alt,0.05709407637162245
systolic,0.05718979016001693
hdl,0.0610056833245163
cholesterol,0.06536305214059841
triglyceride,0.0794039953083352
gtp,0.10757106843323135
height_cm,0.10797899619138188
hemoglobin,0.12475971639728003
