feature,importance
eyesight_left,0.0056416853598923
physical_outlier_flag,0.008498326314036714
hearing_left,0.011441400370948865
hearing_right,0.014602101689296812
urine_protein,0.01852447525553228
age,0.02319031754554263
kidney_outlier_flag,0.02664945135901815
serum_creatinine,0.03209022106794346
eyesight_right,0.03572845623561778
ast,0.05173308500582402
hdl,0.07011470665913114
fasting_blood_sugar,0.07450083157056629
systolic,0.11010044563563155
dental_caries,0.16635974417127858
cholesterol,0.18785377900696604
alt,0.19359009521732143
weight_kg,0.21682587504907236
triglyceride,0.28688981427569926
gtp,0.5919949463389622
hemoglobin,0.6759161576176312
height_cm,0.7338911398416101
